,Ingredients,Amount,Measure,Item
3638,"4 medium russet potatoes, peeled and boiled until fork-tender",4 ,unit,medium russet potatoes
3639,"1 tablespoon kosher salt (Diamond Crystal), plus more to taste",1 tbsp.,tablespoon,kosher salt ( Diamond Crystal )
3640,1/2 teaspoon ground cumin,0.5 tsp.,teaspoon,ground cumin
3641,1 tablespoon nutritional yeast (optional),1 tbsp.,tablespoon,nutritional yeast ( optional )
3642,"6 ounces purple cabbage, thinly shredded (about 2½ cups)",6 oz,ounce,purple cabbage
3643,1 teaspoon lemon juice,1 tsp.,teaspoon,lemon juice
3644,20 (6-inch) corn tortillas,,, 20 (6 inch) corn tortillas
3645,"Sour cream, for serving",,, Sour cream
3646,1 pound tomatoes,1 lb,pound,tomatoes
3647,"1/2 pound Swiss chard, stemmed, leaves washed in 2 changes of water",0.5 lb,pound,Swiss chard
3648,Salt to taste,,, Salt to taste
3649,1 tablespoon grapeseed oil,1 tbsp.,tablespoon,grapeseed oil
3650,"1 small or 1/2 medium red onion, chopped (about 1 cup)",1 ,unit,small or 1/2 medium red onion
3651,"2 large garlic cloves, minced",2 ,unit,large garlic cloves
3652,"1 teaspoon lightly toasted cumin seeds, ground",1 tsp.,teaspoon,lightly toasted cumin seeds
3653,1 teaspoon mild chili powder,1 tsp.,teaspoon,mild chili powder
3654,"1 to 2 serrano or jalapeño chiles (to taste), seeded if desired and minced",1 ,unit,to 2 serrano or jalapeño chiles ( to taste )
3655,"1 14-ounce box firm tofu, drained and cut into medium-size cubes",15 oz,ounce,box firm tofu
3656,1/4 cup chopped cilantro (more to taste),0.25 cup,cup,chopped cilantro ( more to taste )
3657,8 warm corn tortillas,8 ,unit,warm corn tortillas
3658,Salsa fresca (optional),,, Salsa fresca (optional)
3659,5 ounces dried rice vermicelli,5 oz,ounce,dried rice vermicelli
3660,4 dried shiitake mushrooms,4 ,unit,dried shiitake mushrooms
3661,5 tablespoons vegetable oil,5 tbsp.,tablespoon,vegetable oil
3662,"2 eggs, lightly beaten",2 ,unit,eggs
3663,"2 large shallots, thinly sliced",2 ,unit,large shallots
3664,Kosher salt,,, Kosher salt
3665,"1 large carrot, cut into thin matchsticks (about 2 1/2 cups)",1 ,unit,large carrot
3666,"1/4 small green cabbage, shredded (about 2 1/2 cups)",0.25 ,unit,small green cabbage
3667,"8 ounces baked or smoked tofu, cut into thin matchsticks (about 2 cups)",8 oz,ounce,baked or smoked tofu
3668,3 tablespoons soy sauce,3 tbsp.,tablespoon,soy sauce
3669,1 teaspoon ground white pepper,1 tsp.,teaspoon,ground white pepper
3670,"1/4 cup fresh cilantro, roughly chopped",0.25 cup,cup,fresh cilantro
3671,"Chile oil, for serving",,, Chile oil
3672,"1 pound noodles, frozen or (preferably) fresh",1 lb,pound,noodles
3673,"2 tablespoons sesame oil, plus a splash",2 tbsp.,tablespoon,sesame oil
3674,3 1/2 tablespoons soy sauce,3.5 tbsp.,tablespoon,soy sauce
3675,2 tablespoons Chinese rice vinegar,2 tbsp.,tablespoon,Chinese rice vinegar
3676,2 tablespoons Chinese sesame paste,2 tbsp.,tablespoon,Chinese sesame paste
3677,1 tablespoon smooth peanut butter,1 tbsp.,tablespoon,smooth peanut butter
3678,1 tablespoon granulated sugar,1 tbsp.,tablespoon,granulated sugar
3679,1 tablespoon finely grated ginger,1 tbsp.,tablespoon,finely grated ginger
3680,2 teaspoons minced garlic,2 tsp.,teaspoon,minced garlic
3681,"2 teaspoons chile-garlic paste, chile crisp or chile oil, or to taste",2 tsp.,teaspoon,chile garlic paste
3682,"Half a cucumber, peeled, seeded and cut into 1/8-inch by 1/8-inch by 2-inch sticks",,, Half a cucumber
3683,1/4 cup chopped roasted peanuts,0.25 cup,cup,chopped roasted peanuts
3684,"2 tablespoons neutral oil (such as grapeseed or sunflower), plus more as needed",2 tbsp.,tablespoon,neutral oil ( such as grapeseed or sunflower )
3685,"2 (8-ounce) packages tempeh, crumbled into roughly 1/2-inch pieces",,, 2 (8 ounce) packages tempeh
3686,"1 large yellow onion, cut into 1/2-inch pieces",1 ,unit,large yellow onion
3687,Kosher salt and black pepper,,, Kosher salt and black pepper
3688,3 tablespoons tomato paste,3 tbsp.,tablespoon,tomato paste
3689,2 teaspoons ground cumin,2 tsp.,teaspoon,ground cumin
3690,2 teaspoons chili powder,2 tsp.,teaspoon,chili powder
3691,1 1/2 teaspoons nutritional yeast,1.5 tsp.,teaspoon,nutritional yeast
3692,1 teaspoon smoked paprika,1 tsp.,teaspoon,smoked paprika
3693,"1 teaspoon red hot sauce, plus more to taste (optional)",1 tsp.,teaspoon,red hot sauce
3694,"12 hard taco shells, warmed",12 ,unit,hard taco shells
3695,"Desired toppings, see Tip",,, Desired toppings
3696,1 3-to-3 1/2-pound butternut squash,4 lb,pound,butternut squash
3697,2 tablespoons canola oil,2 tbsp.,tablespoon,canola oil
3698,Kosher salt and freshly ground black pepper,,, Kosher salt and freshly ground black pepper
3699,2 sprigs sage,2 ,unit,sprigs sage
3700,1 cup thinly sliced leeks,1 cup,cup,thinly sliced leeks
3701,1/2 cup thinly sliced carrots,0.5 cup,cup,thinly sliced carrots
3702,1/2 cup thinly sliced shallots,0.5 cup,cup,thinly sliced shallots
3703,1/2 cup thinly sliced onions,0.5 cup,cup,thinly sliced onions
3704,"6 garlic cloves, smashed",,, 6 garlic cloves
3705,2 tablespoons honey,2 tbsp.,tablespoon,honey
3706,"6 cups vegetable stock, more if needed",6 cup,cup,vegetable stock
3707,"Bouquet Garni made of 8 sprigs thyme, 2 sprigs Italian parsley, 2 bay leaves and 1/2 teaspoon black peppercorns, all wrapped in a packet made of 2 green leek leaves",,, Bouquet Garni made of 8 sprigs thyme
3708,1/4 cup crème fraîche,0.25 cup,cup,crème fraîche
3709,Freshly grated nutmeg,,, Freshly grated nutmeg
3710,4 tablespoons unsalted butter,4 tbsp.,tablespoon,unsalted butter
3711,1 tablespoon minced chives,1 tbsp.,tablespoon,minced chives
3712,Extra-virgin olive oil,,, Extra virgin olive oil
3713,"2 tablespoons unsalted butter, plus more for greasing",2 tbsp.,tablespoon,unsalted butter
3714,Kosher salt,,, Kosher salt
3715,"1 medium head cauliflower (about 2 1/2 pounds), broken into medium florets",1 ,unit,medium head cauliflower ( about 2 1/2 pounds )
3716,2 tablespoons all-purpose flour,2 tbsp.,tablespoon,all purpose flour
3717,1 cup heavy cream,1 cup,cup,heavy cream
3718,3/4 cup grated Gruyère cheese,0.75 cup,cup,grated Gruyère cheese
3719,1/2 cup grated fontina cheese,0.5 cup,cup,grated fontina cheese
3720,Freshly ground black pepper,,, Freshly ground black pepper
3721,1/4 cup panko or bread crumbs,0.25 cup,cup,panko or bread crumbs
3722,2 tablespoons pecorino or Parmesan,2 tbsp.,tablespoon,pecorino or Parmesan
3723,1 tablespoon chopped fresh thyme,1 tbsp.,tablespoon,chopped fresh thyme
3724,1 tablespoon olive oil,1 tbsp.,tablespoon,olive oil
3725,"Flaky sea salt, for serving (optional)",,, Flaky sea salt
3726,3 tablespoons sesame oil,3 tbsp.,tablespoon,sesame oil
3727,"1 2-to-3-inch piece of ginger, peeled and sliced into coins, approximately 12",3 ,unit,to 3 inch piece of ginger
3728,"12 cloves of garlic, peeled",12 clove,clove,of garlic
3729,"4 whole scallions, trimmed and cut into 1-inch pieces",4 ,unit,whole scallions
3730,3 dried red peppers or 1 teaspoon red-pepper flakes,3 tsp.,teaspoon,red pepper flakes
3731,"2 pounds chicken thighs, boneless or bone-in, cut into bite-size pieces",2 lb,pound,chicken thighs
3732,1 tablespoon unrefined or light brown sugar,1 tbsp.,tablespoon,unrefined or light brown sugar
3733,1/2 cup rice wine,0.5 cup,cup,rice wine
3734,1/4 cup light soy sauce,0.25 cup,cup,light soy sauce
3735,2 cups fresh Thai basil leaves or regular basil leaves,2 cup,cup,fresh Thai basil leaves or regular basil leaves
3736,3 tablespoons uncooked glutinous (sticky) or jasmine rice,3 tbsp.,tablespoon,uncooked glutinous ( sticky ) or jasmine rice
3737,"2 (14-ounce) packages extra-firm tofu, drained and patted dry",,, 2 (14 ounce) packages extra firm tofu
3738,"1 tablespoon neutral oil, such as grapeseed or vegetable",1 tbsp.,tablespoon,neutral oil
3739,"1 lemongrass stem, outer layer removed, tender stem finely chopped",1 ,unit,lemongrass stem
3740,"1 shallot, halved and thinly sliced",1 ,unit,shallot
3741,"4 makrut lime leaves (optional), thinly sliced",4 ,unit,makrut lime leaves ( optional )
3742,"1 cup mixed soft herbs, such as mint, Thai basil, basil, cilantro and chopped scallions",1 cup,cup,mixed soft herbs
3743,"1 teaspoon kosher salt, plus more as needed",1 tsp.,teaspoon,kosher salt
3744,"1 head butter lettuce, leaves separated",1 head,head,butter lettuce
3745,1/4 cup store-bought crispy fried shallots or onions,0.25 cup,cup,store bought crispy fried shallots or onions
3746,4 tablespoons fresh lime juice (from about 2 limes),4 tbsp.,tablespoon,fresh lime juice ( from about 2 limes )
3747,3 tablespoons dark or light brown sugar,3 tbsp.,tablespoon,dark or light brown sugar
3748,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
3749,"1/2 teaspoon red-pepper flakes or 1/2 to 1 red chile, such as bird’s eye, finely chopped",0.5 tsp.,teaspoon,red pepper flakes or 1/2 to 1 red chile
3750,2 tablespoons fresh lemon juice,2 tbsp.,tablespoon,fresh lemon juice
3751,1 tablespoon ground cumin,1 tbsp.,tablespoon,ground cumin
3752,1 heaping tablespoon plus 1 teaspoon ground turmeric,1 tbsp.,tablespoon,plus 1 teaspoon ground turmeric
3753,2 (14-ounce) packages firm tofu,,, 2 (14 ounce) packages firm tofu
3754,8 tablespoons ghee or unsalted butter (1 stick),8 tbsp.,tablespoon,ghee or unsalted butter ( 1 stick )
3755,"2 yellow onions, peeled and diced",2 ,unit,yellow onions
3756,"1 teaspoon ground chile powder, such as cayenne",1 tsp.,teaspoon,ground chile powder
3757,3 tablespoons peeled and minced fresh ginger,3 tbsp.,tablespoon,peeled and minced fresh ginger
3758,"4 garlic cloves, minced",,, 4 garlic cloves
3759,1 (28-ounce) can whole peeled tomatoes,28 oz,ounce,can whole peeled tomatoes
3760,1 cinnamon stick,,, 1 cinnamon stick
3761,1 teaspoon paprika,1 tsp.,teaspoon,paprika
3762,1 1/2 teaspoons fine sea salt,1.5 tsp.,teaspoon,fine sea salt
3763,1 1/2 cups heavy cream or full-fat coconut milk,1.5 cup,cup,heavy cream or full fat coconut milk
3764,"3 scallions, thinly sliced on the bias",3 ,unit,scallions
3765,1/4 cup cilantro leaves and tender stems,0.25 cup,cup,cilantro leaves and tender stems
3766,"Naan, basmati rice, yogurt and quartered cucumbers, for serving",,, Naan
3767,1 (14-ounce) block firm or extra-firm tofu,14 oz,ounce,block firm or extra firm tofu
3768,1 tablespoon low-sodium soy sauce or tamari,1 tbsp.,tablespoon,low sodium soy sauce or tamari
3769,1/2 teaspoon ground turmeric,0.5 tsp.,teaspoon,ground turmeric
3770,1/2 teaspoon ground cumin,0.5 tsp.,teaspoon,ground cumin
3771,Kosher salt and black pepper,,, Kosher salt and black pepper
3772,2 tablespoons canola oil,2 tbsp.,tablespoon,canola oil
3773,"2 scallions, trimmed and thinly sliced",2 ,unit,scallions
3774,"1 pound baby bok choy, quartered lengthwise through the core",1 lb,pound,baby bok choy
3775,Kosher salt and black pepper,,, Kosher salt and black pepper
3776,"1 (14- to 16-ounce) package soft (not silken) tofu, drained and cut into 4 equal squares",,,14.0 16 ounce ) package soft ( not silken ) tofu
3777,6 tablespoons tahini,6 tbsp.,tablespoon,tahini
3778,1/4 cup low-sodium soy sauce,0.25 cup,cup,low sodium soy sauce
3779,3 tablespoons distilled white vinegar,3 tbsp.,tablespoon,distilled white vinegar
3780,1 teaspoon minced ginger,1 tsp.,teaspoon,minced ginger
3781,1/4 teaspoon minced garlic,0.25 tsp.,teaspoon,minced garlic
3782,"1/4 cup chopped scallions (from about 1 scallion), plus more for garnish",0.25 cup,cup,chopped scallions ( from about 1 scallion )
3783,"1/4 cup chopped cilantro, plus more for garnish",0.25 cup,cup,chopped cilantro
3784,"Toasted white sesame seeds, for garnish",,, Toasted white sesame seeds
3785,"5 tablespoons neutral oil, such as safflower or canola oil",5 tbsp.,tablespoon,neutral oil
3786,2 tablespoons minced garlic,2 tbsp.,tablespoon,minced garlic
3787,2 teaspoons minced fresh ginger,2 tsp.,teaspoon,minced fresh ginger
3788,1/3 cup low-sodium soy sauce,0.333333 cup,cup,low sodium soy sauce
3789,2 tablespoons turbinado or granulated sugar,2 tbsp.,tablespoon,turbinado or granulated sugar
3790,"1 (14-to-16-ounce) package firm tofu, drained and cut into 1/2-inch cubes",,,14.0 ounce ) package firm tofu
3791,Kosher salt and black pepper,,, Kosher salt and black pepper
3792,1/4 cup chopped cilantro,0.25 cup,cup,chopped cilantro
3793,1/2 cup finely chopped yellow onion,0.5 cup,cup,finely chopped yellow onion
3794,"1 large carrot, peeled and thinly sliced into rounds",1 ,unit,large carrot
3795,"8 ounces broccoli, cut into 1-inch florets and stems thinly sliced (3 heaping cups)",8 oz,ounce,broccoli
3796,"4 cups cooked and cooled long grain white rice, preferably day-old",4 cup,cup,cooked and cooled long grain white rice
3797,"1 jalapeño or serrano chile, thinly sliced",1 ,unit,jalapeño or serrano chile
3798,1/2 cup thawed frozen peas,0.5 cup,cup,thawed frozen peas
3799,"4 large eggs, beaten",4 ,unit,large eggs
3800,1/2 cup thinly sliced scallions,0.5 cup,cup,thinly sliced scallions
3801,"3 tablespoons chile-crisp condiment, plus more for serving",3 tbsp.,tablespoon,chile crisp condiment
3802,3 tablespoons soy sauce,3 tbsp.,tablespoon,soy sauce
3803,1 1/2 tablespoons Chinese black vinegar,1.5 tbsp.,tablespoon,Chinese black vinegar
3804,1 1/2 teaspoons sesame oil,1.5 tsp.,teaspoon,sesame oil
3805,1 teaspoon honey,1 tsp.,teaspoon,honey
3806,"2 garlic cloves, peeled and minced",,, 2 garlic cloves
3807,2 tablespoons chopped scallions,2 tbsp.,tablespoon,chopped scallions
3808,2 tablespoons chopped cilantro,2 tbsp.,tablespoon,chopped cilantro
3809,"1 (14-ounce) package extra-firm tofu, drained and sliced crosswise into 8 (1/2-inch-thick) slabs",14 oz,ounce,package extra firm tofu
3810,3/4 pound green beans,0.75 lb,pound,green beans
3811,"1 tablespoon neutral oil, like canola or grapeseed",1 tbsp.,tablespoon,neutral oil
3812,"White rice, for serving",,, White rice
3813,1 tablespoon minced fresh ginger,1 tbsp.,tablespoon,minced fresh ginger
3814,"1/4 cup white sesame seeds, toasted and coarsely ground",0.25 cup,cup,white sesame seeds
3815,3 tablespoons lime juice,3 tbsp.,tablespoon,lime juice
3816,1 teaspoon grated ginger,1 tsp.,teaspoon,grated ginger
3817,1 teaspoon finely chopped green chile,1 tsp.,teaspoon,finely chopped green chile
3818,2 teaspoons toasted sesame oil,2 tsp.,teaspoon,toasted sesame oil
3819,1 teaspoon soy sauce,1 tsp.,teaspoon,soy sauce
3820,3/4 cup plain yogurt (not Greek-style),0.75 cup,cup,plain yogurt ( not Greek style )
3821,Salt and pepper,,, Salt and pepper
3822,2 cups watercress sprigs,2 cup,cup,watercress sprigs
3823,1 cup Italian parsley leaves,1 cup,cup,Italian parsley leaves
3824,1/2 cup cilantro sprigs,0.5 cup,cup,cilantro sprigs
3825,"1 cup mixed herbs, such as whole tarragon leaves, whole or torn mint or basil leaves, chervil sprigs, snipped dill and slivered shiso",1 cup,cup,mixed herbs
3826,2 cups thinly sliced cucumber (from 1 large cucumber),2 cup,cup,thinly sliced cucumber ( from 1 large cucumber )
3827,"1 (14-ounce) package silken or soft tofu, cut into 1-inch cubes",14 oz,ounce,package silken or soft tofu
3828,"Black or white sesame seeds, for garnish (optional)",,, Black or white sesame seeds
3829,1 tablespoon neutral oil,1 tbsp.,tablespoon,neutral oil
3830,"4 scallions, white and green parts separated, finely sliced",4 ,unit,scallions
3831,"1 (1-inch) piece ginger, peeled and finely chopped",,, 1 (1 inch) piece ginger
3832,1 (28-ounce) can crushed tomatoes,28 oz,ounce,can crushed tomatoes
3833,3 cups vegetable stock,3 cup,cup,vegetable stock
3834,"1 (14-ounce) package firm tofu, drained, patted dry and cut into ½-inch cubes",14 oz,ounce,package firm tofu
3835,2 tablespoons ketchup,2 tbsp.,tablespoon,ketchup
3836,1 1/2 teaspoons kosher salt (Diamond Crystal),1.5 tsp.,teaspoon,kosher salt ( Diamond Crystal )
3837,2 tablespoons granulated or brown sugar,2 tbsp.,tablespoon,granulated or brown sugar
3838,2 teaspoons sesame oil,2 tsp.,teaspoon,sesame oil
3839,"3 large eggs, well beaten",3 ,unit,large eggs
3840,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
3841,"1 small onion, chopped",1 ,unit,small onion
3842,"1 tablespoon garlic, chopped",1 tbsp.,tablespoon,garlic
3843,Salt and ground black pepper,,, Salt and ground black pepper
3844,2 blocks firm tofu,2 ,unit,blocks firm tofu
3845,1 tablespoon chili powder,1 tbsp.,tablespoon,chili powder
3846,1 teaspoon cumin,1 tsp.,teaspoon,cumin
3847,1/8 teaspoon cinnamon,0.125 tsp.,teaspoon,cinnamon
3848,1 teaspoon cider vinegar,1 tsp.,teaspoon,cider vinegar
3849,Chopped fresh cilantro for garnish,,, Chopped fresh cilantro for garnish
3850,Chopped scallions for garnish,,, Chopped scallions for garnish
3851,Kosher salt,,, Kosher salt
3852,"1 pound wavy or ridged pasta (like cavatappi or rigatoni), or a long noodle (like fettuccine)",1 lb,pound,wavy or ridged pasta ( like cavatappi or rigatoni )
3853,"2 pounds large, ripe tomatoes (about 2 to 3), halved horizontally",2 lb,pound,large
3854,4 tablespoons cold unsalted butter,4 tbsp.,tablespoon,cold unsalted butter
3855,"1 large garlic clove, peeled",1 ,unit,large garlic clove
3856,"1/4 teaspoon red-pepper flakes, plus more for serving",0.25 tsp.,teaspoon,red pepper flakes
3857,Black pepper,,, Black pepper
3858,"Torn basil leaves, for serving (optional)",,, Torn basil leaves
3859,"Finely grated Parmesan, for serving",,, Finely grated Parmesan
3860,6 tablespoons unsalted butter,6 tbsp.,tablespoon,unsalted butter
3861,"1 yellow onion, chopped",1 ,unit,yellow onion
3862,"5 garlic cloves, sliced",,, 5 garlic cloves
3863,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
3864,Salt and black pepper,,, Salt and black pepper
3865,2 (28-ounce) cans whole peeled tomatoes,,, 2 (28 ounce) cans whole peeled tomatoes
3866,6 ounces Parmesan rind,6 oz,ounce,Parmesan rind
3867,4 (about 3/4-inch thick) slices of baguette,,, 4 (about 3/4 inch thick) slices of baguette
3868,"1 garlic clove, peeled",,, 1 garlic clove
3869,1/4 cup finely grated Parmesan,0.25 cup,cup,finely grated Parmesan
3870,1 cup toor dal (split yellow pigeon peas),1 cup,cup,toor dal ( split yellow pigeon peas )
3871,"2 Roma tomatoes, roughly chopped",2 ,unit,Roma tomatoes
3872,1/4 teaspoon ground turmeric,0.25 tsp.,teaspoon,ground turmeric
3873,1/2 teaspoon kosher salt,0.5 tsp.,teaspoon,kosher salt
3874,1/4 cup raw whole peanuts,0.25 cup,cup,raw whole peanuts
3875,1/4 cup/55 grams ghee,0.25 ,unit,cup/55 grams ghee
3876,1 sprig fresh curry leaves,1 ,unit,sprig fresh curry leaves
3877,3 small pieces Indian cinnamon or 1 cinnamon stick,3 ,unit,small pieces Indian cinnamon or 1 cinnamon stick
3878,"3 red dried chiles, such as chile de árbol",3 ,unit,red dried chiles
3879,3 cloves,,, 3 cloves
3880,1/4 teaspoon black mustard seeds,0.25 tsp.,teaspoon,black mustard seeds
3881,Pinch of asafoetida,,, Pinch of asafoetida
3882,2 green (unripe) plantains (about 6 ounces each),2 oz,ounce,each )
3883,"Neutral oil, such as vegetable or canola oil, for frying",,, Neutral oil
